raw_date,raw_title,raw_description,link
Publié le 15 févr. 2024,Des nouveaux revenus de près d’un milliard proposés à Québec,"Près d’un milliard de dollars sont à la portée de Québec pour mieux financer le transport collectif, selon un regroupement d’organismes, qui appelle à indexer les taxes sur le carburant et l’immatriculation en plus de rehausser les revenus du marché carbone.",https://www.lapresse.ca/actualites/politique/2024-02-15/transport-collectif/des-nouveaux-revenus-de-pres-d-un-milliard-proposes-a-quebec.php
Publié le 13 févr. 2024,217 millions pour le nouveau « cerveau » de la ligne bleue,La Société de transport de Montréal (STM) a trouvé l’entreprise qui fournira le nouveau « cerveau » de la ligne bleue du métro de Montréal et de son prolongement.,https://www.lapresse.ca/actualites/grand-montreal/2024-02-13/metro-de-montreal/217-millions-pour-le-nouveau-cerveau-de-la-ligne-bleue.php
Publié le 13 févr. 2024,Reprise du service sur la ligne orange,Le service du métro de Montréal a été brièvement interrompu mardi matin entre les stations Snowdon et Berri-UQAM,https://www.lapresse.ca/actualites/grand-montreal/2024-02-13/metro/reprise-du-service-sur-la-ligne-orange.php
Publié le 10 févr. 2024,La situation financière est « intenable »,"Malgré la récente bouée de sauvetage du gouvernement, l’Autorité régionale de transport métropolitain (ARTM) lance un nouvel appel à l’aide, anticipant un manque à gagner d’un demi-milliard. Près de quatre ans après l’arrivée de la COVID-19, plus d’un usager sur cinq n’est toujours pas remonté à bord du transport collectif, ce qui laisse planer le spectre de fortes compressions dans les prochaines années.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-10/transport-collectif/la-situation-financiere-est-intenable.php
Publié le 9 févr. 2024,L’heure des choix pour le transport collectif,"La STM a confirmé, au début du mois, des compressions budgétaires sans précédent dans son histoire, avec 86 millions de dépenses récurrentes coupées sans toucher à son niveau de service, ce qui représente un effort équivalent à 5 % de son budget.",https://www.lapresse.ca/dialogue/opinions/2024-02-09/financement/l-heure-des-choix-pour-le-transport-collectif.php
Publié le 8 févr. 2024,La Nuit blanche dévoile sa programmation,"Évènement signature de l’hiver montréalais, la Nuit blanche aura lieu cette année du 2 au 3 mars. Au programme de cette 21e édition, plus de 100 activités dans huit pôles de la métropole autour d’un seul thème : le fantasme.",https://www.lapresse.ca/arts/2024-02-08/du-2-au-3-mars-2024/la-nuit-blanche-devoile-sa-programmation.php
Publié le 7 févr. 2024,Une aide de 622 millions réclamée à Québec pour 2025,L’Association du transport urbain du Québec (ATUQ) réclame à Québec une aide de 622 millions de dollars pour 2025 « afin de préserver l’offre de service » en transport collectif. L’organisme souhaite aussi signer une entente sur cinq ans d’ici l’automne prochain.,https://www.lapresse.ca/actualites/politique/2024-02-07/transport-collectif/une-aide-de-622-millions-reclamee-a-quebec-pour-2025.php
Publié le 7 févr. 2024,Des jalons du calendrier repoussés,"Des jalons importants du calendrier de prolongement de la ligne bleue ont été reportés, dans les dernières semaines, en amont de la clôture du plus important appel d’offres du projet.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-07/prolongement-de-la-ligne-bleue/des-jalons-du-calendrier-repousses.php
Publié le 6 févr. 2024,L’IA pour prévenir les tentatives de suicide,"Le métro de Montréal pourrait bientôt être équipé d’un système de surveillance en intelligence artificielle qui détecterait les comportements précédant des tentatives de suicide afin d’en réduire le nombre, a appris . Au besoin, une alarme pourrait notamment être envoyée aux chauffeurs afin d’éviter le pire.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-06/metro/l-ia-pour-prevenir-les-tentatives-de-suicide.php
Publié le 6 févr. 2024,Le beau risque du Stade,"Cela aurait pu être un fiasco monumental, voire un embarras international pour Montréal, mais la reconstruction annoncée du Stade olympique pourrait en fin de compte constituer un moment charnière dans la manière de réaliser de grands projets d’infrastructures au Québec.",https://www.lapresse.ca/actualites/chroniques/2024-02-06/le-beau-risque-du-stade.php
Publié le 3 févr. 2024,« Des enjeux de sécurité » dans le terminus tout neuf,"Le terminus d’autobus du métro Rosemont est toujours fermé, après un an et demi de travaux, parce qu’il est jugé potentiellement dangereux par la Société de transport de Montréal (STM). Au grand dam des personnes à mobilité réduite, forcées de faire des détours.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-03/metro-rosemont/des-enjeux-de-securite-dans-le-terminus-tout-neuf.php
Publié le 2 févr. 2024,Place aux audits de performance de Geneviève Guilbault,"La ministre des Transports, Geneviève Guilbault, est sur le point de lancer ses audits de performance qui évalueront la gestion financière des dix sociétés de transport au Québec. Un mandat sera confié dès le 12 février prochain à la firme Raymond Chabot Grant Thornton.",https://www.lapresse.ca/actualites/politique/2024-02-02/transport-collectif/place-aux-audits-de-performance-de-genevieve-guilbault.php
Publié le 1 févr. 2024,"Le couperet tombe à la STM, 230 postes supprimés","En difficulté financière, la Société de transport de Montréal (STM) devra finalement éliminer 230 postes, l’équivalent d’une baisse de 5 % sur sa masse salariale. Le transporteur assure que ces compressions n’affecteront pas le niveau de service, mais ne cache pas qu’il craint pour la suite en 2025.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-01/transport-collectif/le-couperet-tombe-a-la-stm-230-postes-supprimes.php
Publié le 1 févr. 2024,Changement de garde à l’itinérance,"La mairesse Valérie Plante a décidé de changer de responsable du dossier de l’itinérance, à l’heure où l’enjeu est au cœur de l’actualité.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-01/comite-executif-de-l-administration-plante/changement-de-garde-a-l-itinerance.php
